ap ,id    ,date    ,hjd          ,ra       ,dec      ,v     ,bv    ,teff  ,feh   ,feh_err,logg  ,logg_err,vsini ,vsini_err,rv        ,rve    ,fwhm      ,ccph  ,instr 
93,100665,20080302,2454527.68799,5.874951,32.760346,18.208,1.232,4687,-0.637,0.11,3.816,0.215,0.47,0.1,58.221,1.421,10.84,0.4237,chelle
31,100665,20100305,2455260.76182,5.874951,32.760346,18.208,1.232,4687,-0.088,0.083,4.068,0.161,-0.07,0.22,58.18,1.293,12.35,0.5439,chelle
95,100673,20080228,2454524.68765,5.87336,32.716801,16.548,0.868,5741,-0.055,0.046,4.478,0.121,8.02,0.15,8.094,0.637,14.02,0.8583,chelle
95,100673,20080301,2454526.70915,5.87336,32.716801,16.548,0.868,5741,-0.085,0.048,4.36,0.103,9.75,0.04,8.659,0.511,15.13,0.8805,chelle
33,100673,20100305,2455260.76182,5.87336,32.716801,16.548,0.868,5741,-0.135,0.049,4.485,0.148,8.52,0.19,8.36,0.535,14.31,0.812,chelle
14,100722,20080323,2454548.61608,88.0905,32.720402,15.161,0.725,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,13.7141,2.371,56.96,0.62,hydraN
71,100722,20090113,2454844.64143,88.0905,32.720402,15.161,0.725,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,23.7601,3.735,62.05,0.34,hydraN
30,100722,20100305,2455260.63893,88.0905,32.720402,15.161,0.725,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,16.6594,2.616,54.18,0.73,hydraN
166,100722,20101007,2455476.95385,5.8727,32.7204,15.161,0.725,6294,-0.883,0.044,2.888,0.098,36.81,0.17,18.814,2.326,31.74,0.8319,chelle
77,100722,20101224,2455554.75388,88.0905,32.720402,15.161,0.725,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,16.0922,3.343,52.46,0.7,hydraN
77,100722,20110218,2455610.69602,88.0905,32.720402,15.161,0.725,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,15.3514,13.74,61.44,0.33,hydraN
24,100722,20110319,2455639.66024,88.0905,32.720402,15.161,0.725,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,18.9541,2.212,54.84,0.64,hydraN
77,100722,20120131,2455957.75165,88.0905,32.720402,15.161,0.725,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,15.0222,3.57,54.2,0.67,hydraN
77,100722,20120201,2455958.76095,88.0905,32.720402,15.161,0.725,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,14.2466,4.121,54.74,0.66,hydraN
77,100722,20120308,2455994.64976,88.0905,32.720402,15.161,0.725,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,12.3558,2.201,54.93,0.72,hydraN
24,100722,20121210,2456271.89222,88.0905,32.720402,15.161,0.725,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,16.7889,1.091,52.92,0.8,hydraN
15,100722,20121230,2456291.80569,88.0905,32.720402,15.161,0.725,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,19.7446,13.156,46.38,0.22,hydraN
24,100722,20130119,2456311.70071,88.0905,32.720402,15.161,0.725,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,17.3023,1.317,53.75,0.79,hydraN
60,100722,20140111,2456668.84402,88.0905,32.720402,15.161,0.725,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,19.4722,4.005,60.68,0.71,hydraN
30,100722,20140216,2456704.76214,88.0905,32.720402,15.161,0.725,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,18.9941,1.273,59.5,0.77,hydraN
24,100722,20150209,2457062.71272,88.0905,32.720402,15.161,0.725,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,16.3685,2.921,54.48,0.76,hydraN
77,100722,20150309,2457090.6866,88.0905,32.720402,15.161,0.725,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,18.5963,2.71,51.69,0.64,hydraN
75,100765,20100131,2455227.8501,5.874104,32.734814,11.257,0.228,9767,0.106,0.032,4.765,0.124,71.48,0.1,14.1209,4.204,57.09,0.7301,chelle
